Unnamed: 0,Act. Pop.,Constant,J,Length,Us,V,V2,V3,atom,energy,error,esterm,functional,spin,t,Method,Excitation
254,9.8945160004,1.0,0.509391554461,1.75,1.13164904727,13.6271974885,14.1480814642,13.8538306521,H,-4.921202737,0.009927152553,9.8945160004,pbe,Spin: 0,6.17633190215,uks,doubles
256,9.8919896491,1.0,0.624299130913,1.75,1.59029630362,12.0631772782,14.2578818622,14.203129155,H,-5.019528815,0.005176496394,9.8919896491,pbe,Spin: 0,8.63525975385,uks,doubles
257,9.811007732,1.0,0.608430072651,1.75,1.321824292,12.5215826857,13.6853455391,14.1425896044,H,-5.023528875,0.003789455194,9.811007732,pbe,Spin: 0,7.88334973919,uks,doubles
258,9.8608957262,1.0,0.555848346855,1.75,1.29293379247,13.0853079083,13.5798029172,13.9550159913,H,-4.962814506,0.004955201733,9.8608957262,pbe,Spin: 0,7.29583556382,uks,doubles
259,9.8841469212,1.0,0.596500884556,1.75,1.32783778064,12.5068121404,13.8216321693,14.4966910211,H,-4.971826341,0.006663247959,9.8841469212,pbe,Spin: 0,7.5242477097,uks,doubles
260,9.8707601189,1.0,0.554560424445,1.75,1.36198414974,12.8313848735,13.8331919511,13.8214498698,H,-4.919916538,0.007328767427,9.8707601189,pbe,Spin: 0,7.21622879188,uks,doubles
262,9.9013379915,1.0,0.746733803287,1.75,1.4512931518,12.2477644951,14.1035064584,14.4605214484,H,-5.046243361,0.004459599457,9.9013379915,pbe,Spin: 0,8.5492368024,uks,doubles
263,9.8973500812,1.0,0.779315205548,1.75,1.34512558317,12.367010642,14.2714864583,14.2434791501,H,-5.066101724,0.002024398326,9.8973500812,pbe,Spin: 0,8.34149387505,uks,doubles
264,9.9303756188,1.0,0.773559903744,1.75,1.25336734504,13.058128173,14.0391688547,14.1998409384,H,-5.005664909,0.008182634762,9.9303756188,pbe,Spin: 0,7.67622996101,uks,doubles
266,9.9252341387,1.0,0.713266247296,1.75,1.03057084563,13.3336964911,13.9168770176,14.0852302612,H,-5.003054887,0.005481507544,9.9252341387,pbe,Spin: 0,7.13813711451,uks,doubles
268,9.8730405905,1.0,0.483031572951,1.75,1.36418609054,12.698447321,13.8794018356,14.2136186482,H,-4.982527616,0.004465870586,9.8730405905,pbe,Spin: 0,7.04980952154,uks,doubles
269,9.8667117665,1.0,0.464561120336,1.75,1.44541758211,12.6537536423,13.6589636771,14.0987630649,H,-4.96022963,0.004912804815,9.8667117665,pbe,Spin: 0,7.14425202959,uks,doubles
270,9.88162369841,1.0,0.480829704001,1.75,1.13850105821,13.4470122597,14.3650586512,13.6669592421,H,-4.959914606,0.004415933062,9.88162369841,pbe,Spin: 0,6.18963829481,uks,doubles
271,9.8823377489,1.0,0.426420524614,1.75,1.24011143482,13.1499977653,14.1038473386,13.6687756075,H,-4.934226268,0.007483259507,9.8823377489,pbe,Spin: 0,6.27939937554,uks,doubles
272,9.8906538165,1.0,0.424525692168,1.75,1.32252467841,13.5956067615,14.2684077935,13.0464188385,H,-4.831045663,0.01572157378,9.8906538165,pbe,Spin: 0,5.98879212868,uks,doubles
274,9.8757007881,1.0,0.607673541067,1.75,1.37560074881,12.7226610444,13.9640339874,14.3049888043,H,-4.993669212,0.01011369025,9.8757007881,pbe,Spin: 0,7.41440744398,uks,doubles
276,9.87003999813,1.0,0.536780568673,1.75,1.09474772812,13.5624949183,14.27140994,14.0789271276,H,-4.885069892,0.00691398043,9.87003999813,pbe,Spin: 0,6.39731625115,uks,doubles
277,9.832342567,1.0,0.445823615979,1.75,1.27281142662,13.6260932902,13.9560129995,13.7892080942,H,-4.860900791,0.01937384628,9.832342567,pbe,Spin: 0,6.39452259832,uks,doubles
278,9.8979029336,1.0,0.493063612072,1.75,1.21609219145,13.464128284,14.3016647729,13.8714069781,H,-4.893228183,0.008485998576,9.8979029336,pbe,Spin: 0,6.23922002838,uks,doubles
280,9.9075183838,1.0,0.610937118079,1.75,1.44927465986,12.5361571814,13.9032977151,14.5486665669,H,-4.993594952,0.006121762922,9.9075183838,pbe,Spin: 0,7.56708228672,uks,doubles
281,9.8495234242,1.0,0.438967196045,1.75,1.5264043245,12.7364880815,13.7000798136,13.980178011,H,-4.94040395,0.007622839927,9.8495234242,pbe,Spin: 0,7.53326846678,uks,doubles
282,9.886541019,1.0,0.510436568258,1.75,1.42140872949,13.301848126,13.982593113,14.0378175937,H,-4.897314421,0.01222143999,9.886541019,pbe,Spin: 0,6.72625362377,uks,doubles
283,9.9715760046,1.0,0.49984938105,1.75,1.5894865354,13.3643057831,14.7057495001,14.035730302,H,-4.815834125,0.01589817462,9.9715760046,pbe,Spin: 0,6.88130867355,uks,doubles
286,9.8766425581,1.0,0.759799570601,1.75,1.3646767867,12.5098151417,14.1297936273,14.1540838587,H,-5.045842996,0.008386035552,9.8766425581,pbe,Spin: 0,8.25836230289,uks,doubles
